onset	duration	sample	value
-0.001	10413.4	-0.5	boundary
5	0	2500	TrialStart
77.58694148	0.002	38793.4707	CWR-M  1
77.59927312	0	38799.6366	LS-Sync
82.80894848	0.002	41404.4742	CWR-M  1
82.81861367	0	41409.3068	LS-Sync
88.02895548	0.002	44014.4777	CWR-M  1
88.03795421	0	44018.9771	LS-Sync
93.24896248	0.002	46624.4812	CWR-M  1
93.25229539	0	46626.1477	LS-Sync
98.47096948	0.002	49235.4847	CWR-M  1
98.48163467	0	49240.8173	LS-Sync
108.9129835	0.002	54456.4917	CWR-M  1
108.9154832	0	54457.7416	LS-Sync
119.3569975	0.002	59678.4987	CWR-M  1
119.3663334	0	59683.1667	LS-Sync
124.5770045	0.002	62288.5022	CWR-M  1
124.5826724	0	62291.3362	LS-Sync
135.0210185	0.002	67510.5092	CWR-M  1
135.0285178	0	67514.2589	LS-Sync
145.4650325	0.002	72732.5162	CWR-M  1
145.4795368	0	72739.7684	LS-Sync
150.6850395	0.002	75342.5197	CWR-M  1
150.6960424	0	75348.0212	LS-Sync
155.9070465	0.002	77953.5232	CWR-M  1
155.9825681	0	77991.2841	LS-Sync
185.056	0	92528	TrialEnd
